Re,field,ratio_mean_abs,ratio_l2,alpha_origin,alpha,intercept,R2
300,x-velocity,1.958336484680236,0.9979755120585007,0.9979155458017184,0.9979154152270232,-2.4562521063268295e-07,0.9998798129870754
300,y-velocity,1.0625703993753737,1.0011006888481653,1.0010423228708751,1.0010423217570632,1.1331030137460099e-07,0.9998833998234091
310,pressure,0.6408976852759202,0.6417020768175958,0.6415668043763345,0.8385884232664056,-2.468659660636461,0.9211420298672669
310,x-velocity,1.0592244639082122,0.9981925451992447,0.9981261202474729,0.998125994448018,-2.3686920991805263e-07,0.9998668975620866
310,y-velocity,1.0499629429594703,1.001572276976436,1.0015086552898511,1.0015086540727158,1.219442169316041e-07,0.9998729604493479
320,pressure,0.6646868830827983,0.665458411653684,0.6653312162704824,0.843235423375881,-2.149633242587669,0.9228675498247273
320,x-velocity,1.0849941613309528,0.99839212912152,0.9983239573294478,0.9983238330278731,-2.3428469463378646e-07,0.9998634246855229
320,y-velocity,1.0427854396737346,1.0017536604385868,1.0016885674820002,1.0016885661826151,1.2814209178146722e-07,0.999870046254918
330,pressure,0.6902602459004408,0.6909893885965602,0.6908705539524602,0.8481845266787252,-1.8306949430957729,0.924934442605197
330,x-velocity,1.1872067074174937,0.9985748922070573,0.9985103033502062,0.9985101716917827,-2.484145145974607e-07,0.9998706262296531
330,y-velocity,1.04110587213641,1.0016631976447554,1.0016009389353384,1.0016009376383312,1.2582981980661694e-07,0.9998756932391472
340,pressure,0.7178232199830565,0.7184980593711456,0.7183876841545291,0.8534404584639078,-1.5115484078409334,0.9273037397060254
340,x-velocity,1.1713942323479465,0.9987366100876636,0.9986797234643029,0.9986795813934256,-2.683613757620907e-07,0.9998860721473263
340,y-velocity,1.037787691168517,1.0013075799494622,1.0012515812622464,1.0012515799766564,1.226259591564067e-07,0.9998881520466258
350,pressure,0.7178283115849476,0.718491488856035,0.7183776681828178,0.8494185965326475,-1.4666467062382114,0.9226095984999747
350,x-velocity,1.2647734342301034,0.9992043981899887,0.999027958233276,0.999027865822317,-1.7455746499988045e-07,0.9996468267207587
350,y-velocity,1.0512970391692749,1.005293140800956,1.0051429562464826,1.0051429539107708,2.227918604029311e-07,0.9997012348644572
360,pressure,0.7476189141976223,0.748212673714171,0.7481069429552745,0.8551509170599468,-1.150549063481299,0.9255087660609065
360,x-velocity,1.0982326626408614,0.9993423248759901,0.9992020857357274,0.9992019796949007,-2.0054082990854372e-07,0.9997193222858215
360,y-velocity,1.0811151118495952,1.0045187139460479,1.0043961966294186,1.0043961943675828,2.1199057190279206e-07,0.9997560826207128
370,pressure,0.7799141555680049,0.7804192377211808,0.7803211222502113,0.8611584695187543,-0.8330746016210433,0.9286907405520518
370,x-velocity,1.0539580394074273,0.9994575856868827,0.9993563635127546,0.9993562366939533,-2.401371675969003e-07,0.9997974312114618
370,y-velocity,1.0499332745091632,1.003516167366933,1.0034239881459044,1.0034239860223757,1.9543977607549466e-07,0.999816296059256
380,pressure,0.8150398108593365,0.8154316489349783,0.8153401367623391,0.8674350779988926,-0.5138593978326113,0.9321323127663453
380,x-velocity,1.0471870502621794,0.9995491677826416,0.999482721795919,0.9994825664334693,-2.945788833054175e-07,0.9998670363429611
380,y-velocity,1.039616583450468,1.0022950867886753,1.002230731337562,1.0022307294211208,1.7308395277155554e-07,0.9998715880250154
390,pressure,0.8150450102795789,0.8154256140355428,0.8153295404113322,0.8639862962564355,-0.47994547389007436,0.927905593225963
390,x-velocity,1.0750250884497787,0.9999981203853058,0.9998163885107066,0.9998163260033576,-1.1851863349927147e-07,0.9996365239802517
390,y-velocity,1.0686437580217676,1.0056514918281043,1.005495359091947,1.005495356692587,2.1669887412394204e-07,0.9996895135965301
400,pressure,0.8533922957096046,0.8536279199595692,0.8535363988452211,0.8706797578379786,-0.16154834968008114,0.9318427923303361
400,x-velocity,1.0955479482756858,1.000062770404531,0.9999516832964898,0.9999515830346746,-1.903744668414777e-07,0.9997778248957824
400,y-velocity,1.054825283877468,1.0040869228543938,1.0039860524011521,1.0039860503268976,1.8370242186790207e-07,0.9997990904130752
410,pressure,0.8954073886239098,0.8954572541866922,0.8953673161284375,0.8776292783125059,0.15936190764315944,0.9359912019681117
410,x-velocity,1.0456104001135942,1.000097505869479,1.0000374924187503,1.0000373458423906,-2.787385111760172e-07,0.9998799738737533
410,y-velocity,1.033017678670996,1.0023236336958554,1.0022642663061432,1.0022642646062596,1.4751298410636873e-07,0.9998815440393038
420,pressure,0.8954127379927566,0.8954514319597531,0.8953564272487394,0.8745756190086774,0.18669873623386,0.932302846899471
420,x-velocity,1.078827196082876,1.0005391597772604,1.0003853344212839,1.0003852583098856,-1.4473805927277075e-07,0.9996925011364065
420,y-velocity,1.039227559066184,1.0053176049470849,1.005182030838111,1.0051820283590251,2.151309178275674e-07,0.9997303043136871
430,pressure,0.9416388467391291,0.9414384020421539,0.94134003909908,0.8819148440179877,0.5078740979981221,0.9368877877937148
430,x-velocity,1.0423905109065994,1.000541442739511,1.0004661498134835,1.00046601901682,-2.4913538632999314e-07,0.9998494830505895
430,y-velocity,1.0311629556858142,1.0032524115640684,1.003179844978963,1.0031798429822976,1.6963624897065746e-07,0.9998553426348202
440,pressure,0.9416442568551221,0.9414328004023765,0.941329008752649,0.8790641183376963,0.5321433949571933,0.9334043980377281
440,x-velocity,1.070558305009161,1.0009760427216667,1.0007956526771558,1.0007955893138483,-1.2069147418983075e-07,0.9996395602344101
440,y-velocity,1.0438349829715245,1.0060357065109247,1.0058780955493647,1.0058780927871915,2.3467356888471278e-07,0.9996866939253197
450,pressure,0.9927335190325866,0.9922196238466959,0.9921006958184285,0.8870652398771232,0.8518641283570958,0.9357248251557544
450,x-velocity,1.0545279022386074,0.9999765432383503,0.9998558557367493,0.9998558614257361,1.0855005606939144e-08,0.9997586045515267
450,y-velocity,1.0530574777596435,1.0010362769194432,1.0009134706070253,1.0009134602125012,8.638389595990026e-07,0.9997546586916152
460,pressure,0.9927389978460895,0.9922143355724894,0.9920895504249647,0.884418576149127,0.8732388490044751,0.9324162777777395
460,x-velocity,1.0824789317084056,1.0004109334887812,1.0002093867050863,1.0002094554821745,1.3123172354811102e-07,0.9995970637041401
460,y-velocity,1.0670720565676521,1.003664402282443,1.0034640966087214,1.0034640856013293,9.147714582939469e-07,0.9996008933527585
