nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
      3546, 9.200014164E-03,-5.899983008E-03, 1.897711935E+00,-9.857410026E-03,-2.920563158E-02
      3547, 9.300006755E-03,-5.799992312E-03, 1.892026146E+00,-8.063527861E-03,-2.673615365E-02
      3548, 9.400002312E-03,-5.699997652E-03, 1.883686631E+00,-6.319651021E-03,-2.377825220E-02
      3549, 9.500000846E-03,-5.599999192E-03, 1.872673307E+00,-4.678121130E-03,-2.037074079E-02
      3550, 9.600000215E-03,-5.499999840E-03, 1.859110419E+00,-3.198673025E-03,-1.658621769E-02
      3551, 9.700000050E-03,-5.399999957E-03, 1.843405687E+00,-1.939465927E-03,-1.252997546E-02
      3552, 9.800000009E-03,-5.299999993E-03, 1.825941449E+00,-9.701615016E-04,-8.330639132E-03
      3553, 9.900000002E-03,-5.199999998E-03, 1.808501898E+00,-3.267122052E-04,-4.121913511E-03
      3554, 9.900000001E-03,-5.099999999E-03, 1.794975826E+00,-3.430715351E-04,-4.586296104E-03
      3555, 8.200000000E-03,-3.300000000E-03, 1.430064533E+00, 3.641012802E-04,-2.835375530E-02
      3556, 8.300000000E-03,-3.400000000E-03, 1.434945227E+00,-9.021292859E-04,-3.043475787E-02
      3557, 8.400000000E-03,-3.500000000E-03, 1.441461893E+00,-2.154529415E-03,-3.277900001E-02
      3558, 8.500000000E-03,-3.600000000E-03, 1.450249523E+00,-3.412728614E-03,-3.547934621E-02
      3559, 8.600000000E-03,-3.700000000E-03, 1.462091838E+00,-4.688411718E-03,-3.860839380E-02
      3560, 8.700000000E-03,-3.800000000E-03, 1.477895291E+00,-5.972046908E-03,-4.216912468E-02
      3561, 8.800000000E-03,-3.900000000E-03, 1.498572238E+00,-7.217561845E-03,-4.602789080E-02
      3562, 8.900000000E-03,-4.000000000E-03, 1.524786179E+00,-8.331376148E-03,-4.984795218E-02
      3563, 9.000000000E-03,-4.100000000E-03, 1.556648589E+00,-9.171642106E-03,-5.305787993E-02
      3564, 9.100000000E-03,-4.200000000E-03, 1.592929530E+00,-9.586014876E-03,-5.490505216E-02
      3565, 9.200000000E-03,-4.300000000E-03, 1.631550154E+00,-9.447349930E-03,-5.472183739E-02
      3566, 9.300000000E-03,-4.400000000E-03, 1.669111900E+00,-8.715928005E-03,-5.198812803E-02
      3567, 9.400000000E-03,-4.500000000E-03, 1.702812130E+00,-7.430493952E-03,-4.655041083E-02
      3568, 9.500000000E-03,-4.600000000E-03, 1.729667128E+00,-5.773049868E-03,-3.885440234E-02
      3569, 9.600000000E-03,-4.700000000E-03, 1.749205659E+00,-4.006729041E-03,-2.981984507E-02
      3570, 9.700000000E-03,-4.800000000E-03, 1.762772248E+00,-2.389606732E-03,-2.054600372E-02
      3571, 9.800000000E-03,-4.900000000E-03, 1.772343450E+00,-1.143339537E-03,-1.205043047E-02
